id_equipamento;sg_equipamento_icao;ds_empresa;ds_modelo
67;AT45;AEROSPATIALE/ALENIA ;ATR 42-500
518;AT75;AEROSPATIALE/ALENIA ;ATR 72-500/72-212A (500)
519;AT76;AEROSPATIALE/ALENIA ;ATR 72-600/72-212A (600)
14;A319;AIRBUS;A319
15;A320;AIRBUS;A320-100/200
508;A20N;AIRBUS;A320NEO
16;A321;AIRBUS;A321-100/200
509;A21N;AIRBUS;A321NEO
19;A332;AIRBUS;A330-200
20;A333;AIRBUS;A330-300
512;A339;AIRBUS;A330-900NEO
23;A343;AIRBUS;A340-300
513;A35K;AIRBUS;A350-1000
26;A359;AIRBUS;A350-900
28;A388;AIRBUS;A380-800
93;B722;BOEING;727-200
505;B38M;BOEING;737 MAX 8
523;B39M;BOEING;737 MAX 9
96;B733;BOEING;737-300
97;B734;BOEING;737-400
98;B735;BOEING;737-500
100;B737;BOEING;737-700
101;B738;BOEING;737-800
106;B744;BOEING;747-400
107;B748;BOEING;747-8
111;B753;BOEING;757-300
112;B762;BOEING;767-200
113;B763;BOEING;767-300
114;B764;BOEING;767-400
120;B77L;BOEING;777-200 L-R/FREIGHTER
116;B772;BOEING;777-200/200 ER
121;B77W;BOEING;777-300ER PAX
527;B78X;BOEING;787-10
123;B788;BOEING;787-8 PAX
124;B789;BOEING;787-9 PAX
222;CRJ2;CANADAIR REGIONAL;JET 200
174;C208;CESSNA 208 ;CARAVAN
271;E190;EMBRAER;190/ERJ-190-100
272;E195;EMBRAER;195/ERJ-190-200
578;E295;EMBRAER;E195-E2/ERJ-190-400
328;IL76;ILYUSHIN ;IL76
368;MD11;MCDONNELL DOUGLAS;MD11 MIXED CONFIGURATION
